,Customer ID,Tenure Months,Location,Device Class,Games Product,Music Product,Education Product,Call Center,Video Product,Use MyApp,Payment Method,Monthly Purchase (Thou. IDR),Churn Label,Longitude,Latitude,CLTV (Predicted Thou. IDR),cluster
0,0,2,Jakarta,Mid End,Yes,Yes,No,No,No,No,Digital Wallet,70.005,Yes,106.816666,-6.2,4210.7,Short-term Customers with Low Consumption Levels
1,1,2,Jakarta,High End,No,No,No,No,No,No,Pulsa,91.91,Yes,106.816666,-6.2,3511.3,Short-term Customers with High Consumption Levels
2,2,8,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,129.545,Yes,106.816666,-6.2,6983.6,Short-term Customers with High Consumption Levels
3,3,28,Jakarta,High End,No,No,Yes,Yes,Yes,Yes,Pulsa,136.24,Yes,106.816666,-6.2,6503.9,Short-term Customers with High Consumption Levels
4,4,49,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Debit,134.81,Yes,106.816666,-6.2,6942,Long-term Customers with High Consumption Levels
5,5,10,Jakarta,Mid End,No,No,Yes,Yes,No,No,Credit,71.76,Yes,106.816666,-6.2,7702.5,Short-term Customers with Low Consumption Levels
6,6,1,Jakarta,Mid End,No,No,Yes,No,No,Yes,Pulsa,51.545,Yes,106.816666,-6.2,7062.9,Short-term Customers with Low Consumption Levels
7,7,1,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,26.195,Yes,106.816666,-6.2,6281.6,Short-term Customers with Low Consumption Levels
8,8,47,Jakarta,High End,No,Yes,No,No,Yes,Yes,Pulsa,129.155,Yes,106.816666,-6.2,7525.7,Long-term Customers with High Consumption Levels
9,9,1,Jakarta,Mid End,No,Yes,No,No,No,No,Pulsa,39.26,Yes,106.816666,-6.2,3789.5,Short-term Customers with Low Consumption Levels
10,10,17,Jakarta,Mid End,No,No,No,No,Yes,Yes,Digital Wallet,84.11,Yes,106.816666,-6.2,3928.6,Short-term Customers with High Consumption Levels
11,11,5,Jakarta,High End,No,No,No,No,No,No,Pulsa,90.61,Yes,106.816666,-6.2,3190.2,Short-term Customers with High Consumption Levels
12,12,34,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,138.255,Yes,106.816666,-6.2,3823.3,Long-term Customers with High Consumption Levels
13,13,11,Jakarta,High End,No,No,Yes,No,Yes,Yes,Debit,127.205,Yes,106.816666,-6.2,7376.2,Short-term Customers with High Consumption Levels
14,14,2,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,104.845,Yes,106.816666,-6.2,7261.8,Short-term Customers with High Consumption Levels
15,15,15,Jakarta,High End,Yes,Yes,No,No,Yes,Yes,Credit,128.83,Yes,106.816666,-6.2,3855.8,Short-term Customers with High Consumption Levels
16,16,8,Jakarta,High End,No,Yes,No,No,No,No,Credit,104.845,Yes,106.816666,-6.2,6892.6,Short-term Customers with High Consumption Levels
